image,page,label,color,xmin,ymin,xmax,ymax,text,id
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.284722,0.014175,0.711111,0.04768,SURPRISE AND QUICK ACTION .,vqH8nIex74f0
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.038889,0.064433,0.223611,0.10567,Metro 2 outen :,WjcTG9kxr2D4
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.06701,0.715278,0.101804,"These pronouns , altering us for health .",Ectnkt2oOTPl
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.272222,0.109536,0.761111,0.149485,For long BRIDGEHEAD AT REINE,9ICf6GROoNfd
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.272222,0.153351,0.915278,0.195876,ASSAULT member and occupy user of land giving,qDWJ9Ri8duNy
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.272222,0.20232,0.395833,0.231959,Peninsula,6kavR1gbtM5u
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.429167,0.207474,0.476389,0.228093,with,e3P8l1bHDhYq
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.505556,0.212629,0.559722,0.228093,main,xPCH6yggSthW
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.731944,0.212629,0.8125,0.229381,Island .,aiLViNjVYMer
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.591667,0.213918,0.656944,0.242268,portion,ywsn7H126ouN
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.679167,0.213918,0.702778,0.242268,of,S4CA3HVleBuF
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.265278,0.240979,0.951389,0.286082,"DESTROY all COMMUNICATIONS , telephone wires etc",hd8VMIt30DnP
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2625,0.286082,0.643056,0.319588,and occupy POST OFFICE,1ms4KoioEsTq
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.32732,0.851389,0.364691,spread our with bridgehead and occupy town,bsoWKi2nt2VA
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.716667,0.382732,0.979167,0.418814,line of communication at EMU POINT,z3HGnf5gimJN
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.261111,0.386598,0.340278,0.41366,SECOND,tiVIHSh5DQLL
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.533333,0.386598,0.590278,0.408505,Strun,Dfw5gpc1QKCq
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.366667,0.387887,0.426389,0.407216,PRONG,pegAMHGgcw6l
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.475,0.387887,0.5125,0.405928,Air,AyNqXNLbvVmN
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.618056,0.389175,0.693056,0.405928,to cut,v1TxhSHjcMGJ
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.848611,0.400773,0.983333,0.427835,EMU POINT,9GASxcBrOGZE
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.330556,0.416237,0.433333,0.46134,from,zDyfHhPUkmoL
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.561111,0.42268,0.730556,0.457474,to main land .,RJIbhtNxpxCK
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.441667,0.427835,0.5375,0.451031,ANDO,jjJqn6i4H60s
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.258333,0.458763,0.968056,0.515464,THIRD PRONG . To take wireless station and lighthouse,G8SSO95sBNoO
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.507732,0.945833,0.563144,1 million stages Cut off and destroy power station below,IwAXK8LrFD0T
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.593056,0.559278,0.705556,0.591495,- REINE,T9Xf90KuTKfI
/tmp/gradio/5ec42d5fb73a8f0223f0a42335228a232ba4e3e8ef17190b99ce861937665d2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.741667,0.559278,0.783333,0.582474,the,WhNpV4BQv0zK
