page,text,left,top,width,height,line,conf
6,SisterCities Partnership Agreement,0.167545,0.028607,0.793298,0.033553,1,96.0
6,INTERNATIONAL Toolkit,0.169679,0.063906,0.794177,0.039372,2,99.0
6,Connect globally. Thrive locally.,0.169679,0.086016,0.239583,0.012316,3,99.0
6,City,0.383911,0.201222,0.10492,0.055469,4,90.0
6,Long Beach,0.569152,0.21024,0.294804,0.046742,5,90.0
6,of,0.50866,0.221683,0.04882,0.041408,6,90.0
6,California,0.548193,0.255528,0.141064,0.032777,7,99.0
6,Fister City Agreement,0.322415,0.307021,0.37864,0.031226,8,95.0
6,between the,0.463353,0.348914,0.086847,0.015516,9,99.0
6,City of Long Beach,0.379644,0.375873,0.255397,0.018037,10,99.0
6,"California, USA",0.399849,0.396431,0.212977,0.015516,11,98.0
6,and the,0.482053,0.41699,0.050703,0.006691,12,97.0
6,City of San Pablo de Manta,0.322415,0.42756,0.36885,0.015516,13,99.0
6,"Ecuador, South America",0.347766,0.448022,0.316893,0.012316,14,98.0
6,In accordance with the authorization and approval expressed bry the City of Long Beach.,0.259789,0.479151,0.538529,0.013964,15,98.0
6,"California, USA, and the City of San Pablo de Manta, Ecuador, South America, it is declared",0.217369,0.490593,0.580949,0.012316,16,96.0
6,"that a ""Sister City Agreement"" between the two cities is hereby established for the following",0.216365,0.502036,0.583082,0.012316,17,97.0
6,purposes:,0.215236,0.511831,0.060492,0.01474,18,99.0
6,(1) to promote and expand the effective and mutually beneficial cooperation betseen,0.278865,0.531517,0.520582,0.012316,19,97.0
6,people San Pablo de,0.414031,0.541408,0.135166,0.013673,20,98.0
6,the people of Long Beach and the of Manta; and,0.220256,0.545093,0.403363,0.009794,21,98.0
6,"(2) to promote international goodwill, understanding, and expanded business",0.28125,0.564973,0.519453,0.009988,22,97.0
6,"relations betroeen the fro cities and their respective natioms by the exchange of people, ideas, and",0.216365,0.571664,0.584212,0.013964,23,96.0
6,"information in a wide sariety of economic, social, cultural. municipal, environmental,",0.216365,0.582331,0.584212,0.013964,24,95.0
6,"professional, technical, youth, and other endeavors; and",0.216365,0.592998,0.33622,0.013964,25,98.0
6,"(3) to foster and encourage charitable, scientific, trade and commerce, literary and",0.277861,0.61346,0.522716,0.012316,26,98.0
6,educational activities between the two cities;,0.218499,0.624127,0.268198,0.011443,27,98.0
6,This Sister City Agreement shall be officially established and shall become effective when,0.260919,0.640419,0.540663,0.016389,28,98.0
6,"this document has been duly executed by the Mayor of Long Beach, California, USA, and the",0.218499,0.653607,0.582078,0.012316,29,97.0
6,"Mayor of San Pablo de Manta, Ecuador",0.216365,0.663402,0.342369,0.013092,30,95.0
6,Вениамин Краев,0.55246,0.697828,0.178087,0.03685,31,90.0
6,Beverly O'Neill,0.585341,0.733029,0.127134,0.016389,32,90.0
6,City Beach,0.602661,0.749418,0.150226,0.013285,33,90.0
6,"Mayor, of Long",0.545808,0.753297,0.156501,0.010861,34,90.0
6,"California, USA",0.582204,0.764158,0.127134,0.013964,35,99.0
6,Ing. Jorge O. Zambrano Cedeño,0.524975,0.82147,0.246988,0.016389,36,95.0
6,"Mayor, City of San Pablo de Manta",0.507405,0.841059,0.27623,0.01154,37,98.0
6,"Ecuador, South America",0.550326,0.851726,0.191767,0.01474,38,98.0
6,"Dated: September 19, 2000",0.547063,0.885085,0.201682,0.010085,39,85.0
