page,text,left,top,width,height,line,conf
1,Forewords,0.011427,0.039872,0.05749,0.019045,1,100.0
1,Lambeth has long been,0.011427,0.071588,0.041522,0.00612,2,100.0
1,the home of inspirational,0.011427,0.077289,0.043993,0.00612,3,100.0
1,creativity and audacious,0.011427,0.08299,0.043136,0.00612,4,100.0
1,innovation.,0.011427,0.088692,0.020024,0.00612,5,100.0
1,"From William Blake to Olive Morris, artists and",0.011427,0.097779,0.040256,0.003367,6,100.0
1,activists have pushed the boundaries of what is,0.011427,0.1012,0.041588,0.003367,7,100.0
1,possible and changed our borough for the better.,0.011427,0.104621,0.043092,0.003367,8,100.0
1,"We are a place of energy and ambition, a destination",0.011427,0.108042,0.046118,0.003367,9,100.0
1,for those who wish to make a difference. And we,0.011427,0.111462,0.042868,0.003367,10,100.0
1,"have long been a place of sanctuary, welcoming",0.011427,0.114883,0.042125,0.003367,11,100.0
1,communities from around the globe who have come,0.011427,0.118304,0.045779,0.003367,12,100.0
1,to make Lambeth their home.,0.011427,0.121725,0.02565,0.003367,13,100.0
1,We also recognise that we are not an equal borough.,0.011427,0.128566,0.046384,0.003367,14,100.0
1,We have faced exceptionally challenging times - the,0.011427,0.131987,0.045291,0.003367,15,100.0
1,"devastating cuts to public services, austerity Britain,",0.011427,0.135408,0.04536,0.003367,16,100.0
1,"Brexit, the pandemic and the ongoing cost of living",0.011427,0.138828,0.044507,0.003367,17,100.0
1,crisis. The impacts are not felt equally and have,0.011427,0.142249,0.04152,0.003367,18,100.0
1,"exacerbated the chronic stresses of poverty, racism",0.011427,0.14567,0.045144,0.003367,19,100.0
1,and inequality that affect so many in our community.,0.011427,0.149091,0.045549,0.003367,20,100.0
1,We saw during the coronavirus pandemic the,0.011427,0.155932,0.039766,0.003367,21,100.0
1,remarkable collective response of our borough - when,0.011427,0.159353,0.047277,0.003367,22,100.0
1,"the Council, businesses, voluntary and community",0.011427,0.162774,0.044052,0.003367,23,100.0
1,organisations and residents came together as one,0.011427,0.166194,0.043911,0.003367,24,100.0
1,and carried us through the toughest of times. Our,0.011427,0.169615,0.043423,0.003367,25,100.0
1,partnership working and genuine collaboration is our,0.011427,0.173036,0.045926,0.003367,26,100.0
1,core strength. And what is unique about Lambeth,0.011427,0.176457,0.043536,0.003367,27,100.0
1,is our diversity which forms the bedrock of that,0.011427,0.179877,0.041068,0.003367,28,100.0
1,collective power.,0.011427,0.183298,0.014902,0.003367,29,100.0
1,We are the home of Windrush. We are home to,0.011427,0.19014,0.041423,0.003367,30,100.0
1,London’s largest LGBTQ+ community. We are home,0.011427,0.19356,0.045831,0.003367,31,100.0
1,to the largest Portuguese-speaking community in,0.011427,0.196981,0.043159,0.003367,32,100.0
1,London and increasingly are welcoming more of the,0.011427,0.200402,0.045297,0.003367,33,100.0
1,Latin American community who are making Lambeth,0.011427,0.203823,0.046261,0.003367,34,100.0
1,"their home. It is these foundations, being a place",0.011427,0.207243,0.0426,0.003367,35,100.0
1,"of sanctuary and possessing a deeply welcoming,",0.011427,0.210664,0.043721,0.003367,36,100.0
1,"collective, community spirit, an aspiring borough",0.011427,0.214085,0.042302,0.003367,37,100.0
1,"thirsty to achieve, which continues to see us through",0.011427,0.217506,0.046073,0.003367,38,100.0
1,the challenges that are placed before us.,0.011427,0.220926,0.035775,0.003367,39,100.0
1,"It is this open heart and pioneering spirit, along",0.061709,0.072206,0.040994,0.003367,40,100.0
1,"with our geographical connectivity, our vibrant and",0.061709,0.075627,0.044025,0.003367,41,100.0
1,imaginative business community and passionate,0.061709,0.079048,0.042407,0.003367,42,100.0
1,voluntary sector that places Lambeth in an,0.061709,0.082469,0.037374,0.003367,43,100.0
1,unparalleled position in London.,0.061709,0.085889,0.028113,0.003367,44,100.0
1,But we cannot take our residents for granted. What,0.061709,0.092731,0.045031,0.003367,45,100.0
1,"came through in the hundreds of conversations,",0.061709,0.096152,0.042006,0.003367,46,100.0
1,"meetings, workshops and roundtables we have held",0.061709,0.099572,0.045775,0.003367,47,100.0
1,"in developing Our Future, Our Lambeth, is that whilst",0.061709,0.102993,0.046182,0.003367,48,100.0
1,"our communities are generous and tough, whilst",0.061709,0.106414,0.042304,0.003367,49,100.0
1,they possess incomparable levels of humanity and,0.061709,0.109835,0.04409,0.003367,50,100.0
1,resilience their strength is not boundless.,0.061709,0.113255,0.035803,0.003367,51,100.0
1,It is incumbent upon us all to make the bold decisions,0.061709,0.120097,0.04715,0.003367,52,100.0
1,"now, because the choices we make today will define",0.061709,0.123518,0.046005,0.003367,53,100.0
1,the Lambeth we create for the next generation.,0.061709,0.126938,0.041226,0.003367,54,100.0
1,"It is those challenges, both the ones we are grappling",0.061709,0.130359,0.046749,0.003367,55,100.0
1,"with presently and the ones just around the corner,",0.061709,0.13378,0.044433,0.003367,56,100.0
1,"that Our Future, Our Lambeth seeks to address.",0.061709,0.137201,0.042227,0.003367,57,100.0
1,We have a wonderful opportunity to transform,0.061709,0.144042,0.040286,0.003367,58,100.0
1,and reshape our neighbourhoods and equip our,0.061709,0.147463,0.042082,0.003367,59,100.0
1,communities to overcome future obstacles and,0.061709,0.150884,0.041258,0.003367,60,100.0
1,"enable us all to thrive. So, the Lambeth that we see",0.061709,0.154304,0.044993,0.003367,61,100.0
1,"in 2030 is one that is healthier, safer and sustainable,",0.061709,0.157725,0.046261,0.003367,62,100.0
1,and is active in tearing down deep-rooted inequalities.,0.061709,0.161146,0.047232,0.003367,63,100.0
1,"Our Future, Our Lambeth is the beginning of us",0.061709,0.167987,0.041405,0.003367,64,100.0
1,"taking that bold action, being brave in the face of an",0.061709,0.171408,0.045555,0.003367,65,100.0
1,"uncertain future, and, together, creating a more just",0.061709,0.174829,0.04485,0.003367,66,100.0
1,and equitable Lambeth for us all.,0.061709,0.17825,0.028897,0.003367,67,100.0
1,Councillor Claire Holland,0.061709,0.187557,0.023602,0.003344,68,100.0
1,Leader of Lambeth Council,0.061709,0.190935,0.024084,0.003367,69,100.0
1,Councillor Claire Holland Leader of Lambeth Council,0.085793,0.170459,0.016989,0.028375,70,100.0
1,Our vision for Lambeth by 2030 is the product of a,0.131419,0.07179,0.087224,0.00612,71,100.0
1,series of fruitful conversations about the borough –,0.131419,0.077491,0.089363,0.00612,72,100.0
1,"what makes Lambeth unique, what we want it to look",0.131419,0.083193,0.09311,0.00612,73,100.0
1,"and feel like by 2030, and what matters most to all of us",0.131419,0.088894,0.097075,0.00612,74,100.0
1,"who live, work, and visit the borough.",0.131419,0.094595,0.064368,0.00612,75,100.0
1,That means that whilst the Council has held the pen,0.131419,0.10372,0.046481,0.003367,76,100.0
1,"on the Borough Plan, it really does belong to us all",0.131419,0.107141,0.045017,0.003367,77,100.0
1,"– residents, institutions, businesses, the voluntary",0.131419,0.110562,0.044328,0.003367,78,100.0
1,and community sector – everyone who has a stake,0.131419,0.113982,0.045622,0.003367,79,100.0
1,in Lambeth.,0.131419,0.117403,0.010468,0.003367,80,100.0
1,At the heart of our collective vision is the,0.131419,0.124487,0.036263,0.003367,81,100.0
1,commitment to improving the lives of every Lambeth,0.131419,0.127908,0.046872,0.003367,82,100.0
1,resident – leaving noone behind. Lambeth faces,0.131419,0.131328,0.042913,0.003367,83,100.0
1,"distinct challenges, both now and in the future –",0.131419,0.134749,0.043007,0.003367,84,100.0
1,and we know the impacts of these challenges are,0.131419,0.13817,0.044354,0.003367,85,100.0
1,felt differently across our diverse neighbourhoods,0.131419,0.141591,0.044001,0.003367,86,100.0
1,and communities.,0.131419,0.145011,0.015757,0.003367,87,100.0
1,"Collectively, we have to rise to these challenges and",0.131419,0.152095,0.046418,0.003367,88,100.0
1,be courageous to overcome them – not being afraid,0.131419,0.155516,0.046563,0.003367,89,100.0
1,to do things differently to deliver greater impact for,0.131419,0.158937,0.045092,0.003367,90,100.0
1,"ourselves, our friends, families and neighbours.",0.131419,0.162357,0.041566,0.003367,91,100.0
1,Lambeth 2030 is a vision for the best borough we,0.131419,0.169441,0.04456,0.003367,92,100.0
1,can be by 2030. That is a borough with social and,0.131419,0.172862,0.04492,0.003367,93,100.0
1,"climate justice at its heart. A borough that is safer,",0.131419,0.176283,0.044678,0.003367,94,100.0
1,"fit for the future, and which everyone can have the",0.131419,0.179704,0.044789,0.003367,95,100.0
1,opportunity to call home.,0.131419,0.183124,0.022064,0.003367,96,100.0
1,We know we face major challenges when it comes,0.131419,0.190208,0.045269,0.003367,97,100.0
1,"to making these ambitions a reality, not least the",0.131419,0.193629,0.04314,0.003367,98,100.0
1,"entrenched inequities that persist across Lambeth,",0.131419,0.19705,0.045303,0.003367,99,100.0
1,despite good progress made to change this. That,0.131419,0.20047,0.044354,0.003367,100,100.0
1,is why we are tying all our ambitions together with,0.131419,0.203891,0.044618,0.003367,101,100.0
1,a determination to be a borough of equity and,0.131419,0.207312,0.041177,0.003367,102,100.0
1,"justice – one that is fairer for our Black, Asian and",0.131419,0.210733,0.044362,0.003367,103,100.0
1,"Multi-Ethnic residents, our LGBTQ+ residents, our",0.131419,0.214153,0.044775,0.003367,104,100.0
1,"disabled residents, for women and girls, our faith",0.131419,0.217574,0.043624,0.003367,105,100.0
1,communities and those with lower socio-economic,0.131419,0.220995,0.045543,0.003367,106,100.0
1,status. We will be relentless in our pursuit of more,0.181701,0.10372,0.044485,0.003367,107,100.0
1,equitable outcomes in all that we do together,0.181701,0.107141,0.04054,0.003367,108,100.0
1,for Lambeth.,0.181701,0.110562,0.01131,0.003367,109,100.0
1,Lambeth 2030 is a plan for everyone – it will,0.181701,0.117708,0.039421,0.003369,110,100.0
1,"bind us to work together, through cross-sector",0.181701,0.121129,0.041794,0.003369,111,100.0
1,"collaborations and brave conversations, to realise",0.181701,0.12455,0.044265,0.003369,112,100.0
1,our 3 bold ambitions. We have special ingredients,0.181701,0.12797,0.044578,0.003369,113,100.0
1,"in Lambeth – including world leading organisations,",0.181701,0.131391,0.045848,0.003369,114,100.0
1,a vibrant voluntary and community sector and,0.181701,0.134812,0.04104,0.003369,115,100.0
1,passionate residents – which by working in,0.181701,0.138233,0.03846,0.003369,116,100.0
1,"partnership, can make a real difference.",0.181701,0.141653,0.034957,0.003369,117,100.0
1,I want to thank you – our residents and partners –,0.181701,0.148803,0.044634,0.003367,118,100.0
1,for your involvement in shaping Lambeth 2030. I am,0.181701,0.152223,0.046539,0.003367,119,100.0
1,continually struck by the pride people have for their,0.181701,0.155644,0.045741,0.003367,120,100.0
1,local community and for Lambeth and share your,0.181701,0.159065,0.043995,0.003367,121,100.0
1,passion and drive to be one of the best boroughs in,0.181701,0.162486,0.046335,0.003367,122,100.0
1,London. Lambeth 2030 is the first step towards our,0.181701,0.165906,0.046144,0.003367,123,100.0
1,future. Let’s do this together.,0.181701,0.169327,0.025285,0.003367,124,100.0
1,Let’s do this together.,0.181701,0.1763,0.021762,0.003401,125,100.0
1,Fiona Connolly,0.181701,0.184581,0.013892,0.003344,126,100.0
1,Acting Chief Executive,0.181701,0.187959,0.019341,0.003367,127,100.0
1,Lambeth Council,0.181701,0.19138,0.014747,0.003367,128,100.0
1,Bayo Dosunmu Chief Executive – Lambeth Council,0.196448,0.170904,0.016581,0.028375,129,100.0
1,"04 | Lambeth 2030 Our Future, Our Lambeth",0.005715,0.007503,0.033066,0.002739,130,100.0
1,"Lambeth 2030 Our Future, Our Lambeth | 05",0.201262,0.007503,0.033005,0.002739,131,100.0
