page,text,left,top,width,height,line,conf
1,"04 Lambeth 2030 Our Future, Our Lambeth Lambeth 203o Our Future, Our Lambeth | 05",0.024189,0.031927,0.951421,0.009692,1,96.0
1,Forewords,0.049385,0.1813,0.237855,0.055017,2,99.0
1,"Lambeth has long been It is this open heart and pioneering spirit, along Our vision for Lambeth by 2030 is the product of a",0.046563,0.300741,0.860714,0.022805,3,98.0
1,"with our geographical connectivity, our vibrant and",0.256803,0.31699,0.180407,0.010832,4,99.0
1,the home of inspirational series of fruitful conversations about the borough -,0.045757,0.323546,0.869381,0.0248,5,98.0
1,imaginative business community and passionate,0.257005,0.331813,0.173957,0.010547,6,99.0
1,creativity and audacious voluntary sector that places Lambeth in an,0.046362,0.344926,0.363636,0.025941,7,98.0
1,"what makes s Lambeth u unique, what we want it to look",0.547269,0.349772,0.3846,0.02138,8,96.0
1,unparalleled position in London.,0.256803,0.359749,0.114493,0.011117,9,99.0
1,"innovation. and feel like by 2030, and what matters most to all of us",0.046765,0.371722,0.902641,0.025656,10,99.0
1,But we cannot take our residents for granted. What,0.256803,0.388255,0.185043,0.010547,11,98.0
1,"who live, work, and visit the borough.",0.545455,0.395667,0.270308,0.024515,12,98.0
1,"came through in the hundreds of conversations,",0.257005,0.402794,0.172143,0.010547,13,98.0
1,"From William Blake to Olive Morris, artists and",0.046966,0.40878,0.166096,0.010832,14,98.0
1,"meetings, workshops and roundtables we have held",0.257005,0.416762,0.188268,0.010832,15,99.0
1,activists have pushed the boundaries of what is,0.047571,0.423603,0.170732,0.010262,16,99.0
1,"in developing Our Future, Our Lambeth, is that whilst That means that whilst the Council has held the pen status. We will be relentless in our pursuit of more",0.257005,0.431585,0.682725,0.013398,17,99.0
1,possible and changed our borough for the better.,0.047168,0.437571,0.177182,0.011403,18,98.0
1,"our communities are generous and tough, whilst on the Borough Plan, it really does belong to us all equitable outcomes in all that we do together",0.2564,0.445268,0.667204,0.014538,19,99.0
1,"We are a place of energy and ambition, a destination",0.046966,0.452109,0.190083,0.010547,20,99.0
1,"they possess incomparable levels of humanity and residents, institutions, businesses, the voluntary for Lambeth.",0.256803,0.459521,0.547067,0.013968,21,98.0
1,for those who wish to make a difference. And we,0.046765,0.465792,0.17698,0.010832,22,98.0
1,resilience their strength is not boundless. and community sector - everyone who has a stake,0.256803,0.473774,0.478331,0.013683,23,99.0
1,"have long been a place of sanctuary, welcoming",0.047571,0.480901,0.172747,0.010547,24,99.0
1,communities from around the globe who have come in Lambeth. Lambeth 2030 is a plan for everyone - it will,0.046966,0.490878,0.8718,0.015108,25,98.0
1,It is incumbent upon us all to make the bold decisions,0.256198,0.501425,0.19492,0.012543,26,98.0
1,"to make Lambeth their home. bind us to work together, through cross-sector",0.046966,0.506842,0.881677,0.012828,27,98.0
1,"now, because the choices we make today will define At the heart of our collective vision is the collaborations and brave conversations, to realise",0.257005,0.517104,0.681717,0.014538,28,98.0
1,the Lambeth we create for the next generation.,0.256198,0.530502,0.169321,0.011403,29,99.0
1,We also recognise that we are not an equal borough. commitment to improving the lives of every Lambeth our 3 bold ambitions. We have special ingredients,0.047168,0.535063,0.892562,0.013113,30,98.0
1,"It is those challenges, both the ones we are grappling",0.256198,0.5439,0.192905,0.013398,31,99.0
1,"We have faced exceptionally challenging times - the resident - leaving noone behind. Lambeth faces in Lambeth - including world leading organisations,",0.046765,0.548746,0.898206,0.014253,32,99.0
1,"with presently and the ones just around the corner,",0.2564,0.558438,0.182826,0.012828,33,98.0
1,"devastating cuts to public services, austerity Britain, distinct challenges, both now and in the future - a vibrant voluntary and community sector and",0.047168,0.563284,0.878452,0.013683,34,98.0
1,"that Our Future, Our Lambeth seeks to address.",0.2564,0.573261,0.173352,0.011403,35,99.0
1,"Brexit, the pandemic and the ongoing cost of living and we know the impacts of these challenges are passionate residents - which by working in",0.046966,0.577537,0.867769,0.014538,36,99.0
1,"felt differently across our diverse neighbourhoods partnership, can make a real difference.",0.546462,0.590935,0.356178,0.013113,37,99.0
1,crisis. The impacts are not felt equally and have,0.047571,0.594926,0.17053,0.010547,38,98.0
1,We have a wonderful opportunity to transform,0.255997,0.601197,0.166297,0.012543,39,98.0
1,"exacerbated the chronic stresses of poverty, racism and communities.",0.047168,0.606613,0.564805,0.012828,40,99.0
1,and reshape our neighbourhoods and equip our,0.2564,0.615735,0.173755,0.012543,41,99.0
1,and inequality that affect so many in our community. I want to thank you - our residents and partners -,0.047168,0.621437,0.893167,0.013113,42,99.0
1,communities to overcome future obstacles and,0.256803,0.630559,0.169724,0.010547,43,99.0
1,"Collectively, we have to rise to these challenges and for your involvement in shaping Lambeth 2030. I am",0.54747,0.63569,0.400323,0.011403,44,98.0
1,"enable us all to thrive. So, the Lambeth that we see",0.256803,0.644812,0.185043,0.010832,45,98.0
1,We saw during the coronavirus pandemic the be courageous to overcome them - not being afraid continually struck by the pride people have for their,0.047168,0.649943,0.897803,0.012258,46,98.0
1,"in 2030 is one that is healthier, safer and sustainable,",0.2564,0.65878,0.190486,0.011403,47,98.0
1,remarkable collective response of our borough - when to do things differently to deliver greater impact for local community and for Lambeth and share your,0.046966,0.663626,0.891151,0.013113,48,99.0
1,and is active in tearing down deep-rooted inequalities.,0.2564,0.673033,0.194719,0.011973,49,98.0
1,"the Council, businesses, voluntary and community ourselves, our friends, families and neighbours. passion and drive to be one of the best boroughs in",0.046966,0.678164,0.900625,0.012828,50,98.0
1,organisations and residents came together as one London. Lambeth 2030 is the first step towards our,0.046966,0.692417,0.899819,0.013683,51,98.0
1,"Our Future, Our Lambeth is the beginning of us",0.2564,0.700969,0.170732,0.012543,52,98.0
1,and carried us through the toughest of times. Our Lambeth 2030 is a vision for the best borough we future. Let's do this together.,0.047571,0.707241,0.81415,0.012258,53,98.0
1,"taking that bold action, being brave in the face of an",0.2564,0.715792,0.187664,0.011973,54,96.0
1,partnership working and genuine collaboration is our can be by 2030. That is a borough with social and,0.046966,0.722064,0.685144,0.012543,55,99.0
1,"uncertain future, and, together, creating a more just",0.256803,0.730331,0.184842,0.011117,56,99.0
1,"core strength. And what is unique about Lambeth climate justice at its heart. A borough that is safer, Let's do this together.",0.046765,0.735747,0.798226,0.013113,57,98.0
1,and equitable Lambeth for us all.,0.256803,0.744299,0.117718,0.011403,58,99.0
1,"is our diversity which forms the bedrock of that fit for the future, and which everyone can have the",0.046966,0.750285,0.684741,0.011688,59,99.0
1,collective power. opportunity to call home.,0.047168,0.764253,0.591816,0.012828,60,98.0
1,We are the home of Windrush. We are home to We know we face major challenges when it comes,0.046966,0.79333,0.686757,0.011973,61,98.0
1,"London's largest LGBTQ+ community. We are home to making these ambitions a reality, not least the",0.046966,0.807868,0.677888,0.011688,62,99.0
1,"to the largest Portuguese-speaking community in entrenched inequities that persist across Lambeth,",0.046765,0.822406,0.686555,0.011403,63,99.0
1,London and increasingly are welcoming more of the despite good progress made to change this. That,0.046765,0.835804,0.683532,0.012828,64,98.0
1,Latin American community who are making Lambeth is why we are tying all our ambitions together with,0.046765,0.850627,0.683935,0.011973,65,99.0
1,"their home. It is these foundations, being a place a determination to be a borough of equity and",0.046563,0.86431,0.669825,0.012543,66,98.0
1,"of sanctuary and possessing a deeply welcoming, justice - one that is fairer for our Black, Asian and",0.047168,0.879704,0.682725,0.011403,67,98.0
1,"collective, community spirit, an aspiring borough Multi-Ethnic residents, our LGBTQ+ residents, our lan Davis",0.047571,0.893101,0.745414,0.011973,68,99.0
