page,text,left,top,width,height,line,conf
6,Partnership Agreement,0.515686,0.026061,0.441961,0.033939,1,95.0
6,SisterCities,0.167059,0.030909,0.240392,0.03303,2,95.0
6,INTERNATIONAL Toolkit,0.16902,0.063939,0.78902,0.033939,3,95.0
6,Connect globally. Thrive locally.,0.16902,0.086061,0.235686,0.01303,4,95.0
6,City,0.386275,0.201515,0.103137,0.055455,5,95.0
6,of Beach,0.509412,0.21,0.357255,0.044242,6,95.0
6,Long,0.553725,0.221818,0.04549,0.041515,7,95.0
6,California,0.547451,0.256364,0.141176,0.030909,8,95.0
6,Sister City Agreement,0.324706,0.30697,0.372941,0.033333,9,95.0
6,between the,0.467451,0.350303,0.079608,0.010909,10,95.0
6,City of Long Beach,0.378431,0.376364,0.255686,0.017879,11,95.0
6,"California, USA",0.397255,0.395455,0.214902,0.017879,12,95.0
6,and the,0.46549,0.415455,0.079608,0.010909,13,95.0
6,City of San Pablo de Manta,0.318431,0.426364,0.372157,0.017879,14,95.0
6,"Ecuador, South America",0.34549,0.445455,0.318039,0.017879,15,95.0
6,"In accordance with the authorization and approval expressed by the City of Long Beach,",0.261176,0.481515,0.541961,0.02,16,95.0
6,"California, USA, and the City of San Pablo de Manta, Ecuador, South America, it is declared",0.215294,0.496364,0.588235,0.02,17,95.0
6,"that a ""Sister City Agreement"" between the two cities is hereby established for the following",0.215294,0.511515,0.584314,0.017879,18,95.0
6,purposes:,0.215294,0.525455,0.072157,0.010909,19,95.0
6,(1) to promote and expand the effective and mutually beneficial cooperation between,0.275294,0.535455,0.524314,0.017879,20,95.0
6,the people of Long Beach and the people of San Pablo de Manta; and,0.215294,0.549697,0.416863,0.017879,21,95.0
6,"(2) to promote international goodwill, understanding, and expanded business",0.275294,0.562424,0.524314,0.017879,22,95.0
6,"relations between the two cities and their respective nations by the exchange of people, ideas, and",0.215294,0.575455,0.593725,0.017879,23,95.0
6,"information in a wide variety of economic, social, cultural, municipal, environmental,",0.215294,0.589697,0.588235,0.017879,24,95.0
6,"professional, technical, youth, and other endeavors; and",0.215294,0.603636,0.331765,0.01697,25,95.0
6,"(3) to foster and encourage charitable, scientific, trade and commerce, literary and",0.275294,0.616667,0.524314,0.01697,26,95.0
6,educational activities between the two cities;,0.215294,0.629697,0.265882,0.016061,27,95.0
6,This Sister City Agreement shall be officially established and shall become effective when,0.261176,0.642727,0.541961,0.017879,28,95.0
6,"this document has been duly executed by the Mayor of Long Beach, California, USA, and the",0.215294,0.655758,0.588235,0.017879,29,95.0
6,"Mayor of San Pablo de Manta, Ecuador, South America.",0.215294,0.669697,0.367843,0.016061,30,95.0
6,Beverly O'Neill,0.547451,0.694545,0.167843,0.042121,31,95.0
6,Beverly O'Neill,0.58549,0.734848,0.133725,0.016061,32,95.0
6,"Mayor, City of Long Beach",0.541569,0.750606,0.208627,0.01697,33,95.0
6,"California, USA",0.551373,0.766667,0.157647,0.016061,34,95.0
6,Zambrano,0.572157,0.781212,0.102745,0.040303,35,95.0
6,Jorge,0.524314,0.796667,0.023137,0.01697,36,95.0
6,Ing. Jorge O. Zambrano Cedeño,0.529412,0.820909,0.247843,0.016061,37,95.0
6,"Mayor, City of San Pablo de Manta",0.503529,0.835758,0.283922,0.017879,38,95.0
6,"Ecuador, South America",0.523529,0.852727,0.243922,0.016061,39,95.0
6,"Dated: September 19, 2000",0.54549,0.880909,0.198824,0.016061,40,95.0
